k,A,B,a1,a2,a3,b1,b2,b3,ВЦИ,НЦИ,ε
1,a3,b1,3,9,18,18,8,0,18.0,0.0,18.0
2,a3,b3,16,19,18,36,16,0,9.5,0.0,9.5
3,a2,b3,29,29,18,45,23,10,9.667,3.333,6.167
4,a2,b3,42,39,18,54,30,20,10.5,5.0,4.5
5,a1,b3,55,49,18,57,43,33,11.0,6.6,2.9
6,a1,b3,68,59,18,60,56,46,11.333,7.667,1.833
7,a1,b3,81,69,18,63,69,59,11.571,8.429,1.071
8,a1,b3,94,79,18,66,82,72,11.75,8.25,1.071
9,a1,b1,97,88,36,69,95,85,10.778,7.667,1.071
10,a1,b1,100,97,54,72,108,98,10.0,7.2,1.071
11,a1,b1,103,106,72,75,121,111,9.636,6.818,1.071
12,a2,b1,106,115,90,84,128,121,9.583,7.0,1.071
13,a2,b1,109,124,108,93,135,131,9.538,7.154,1.071
14,a2,b1,112,133,126,102,142,141,9.5,7.286,1.071
15,a2,b1,115,142,144,111,149,151,9.6,7.4,1.071
16,a3,b1,118,151,162,129,157,151,10.125,8.062,1.071
17,a3,b1,121,160,180,147,165,151,10.588,8.647,0.853
18,a3,b1,124,169,198,165,173,151,11.0,8.389,0.853
19,a3,b3,137,179,198,183,181,151,10.421,7.947,0.853
20,a3,b3,150,189,198,201,189,151,9.9,7.55,0.853
21,a3,b3,163,199,198,219,197,151,9.476,7.19,0.829
22,a2,b3,176,209,198,228,204,161,9.5,7.318,0.829
23,a2,b3,189,219,198,237,211,171,9.522,7.435,0.829
24,a2,b3,202,229,198,246,218,181,9.542,7.542,0.829
25,a2,b3,215,239,198,255,225,191,9.56,7.64,0.829
26,a2,b3,228,249,198,264,232,201,9.577,7.731,0.829
27,a2,b3,241,259,198,273,239,211,9.593,7.815,0.829
28,a2,b3,254,269,198,282,246,221,9.607,7.893,0.829
29,a2,b3,267,279,198,291,253,231,9.621,7.966,0.829
30,a2,b3,280,289,198,300,260,241,9.633,8.033,0.829
31,a2,b3,293,299,198,309,267,251,9.645,8.097,0.829
32,a2,b3,306,309,198,318,274,261,9.656,8.156,0.829
33,a2,b3,319,319,198,327,281,271,9.667,8.212,0.829
34,a2,b3,332,329,198,336,288,281,9.765,8.265,0.829
35,a1,b3,345,339,198,339,301,294,9.857,8.4,0.829
36,a1,b3,358,349,198,342,314,307,9.944,8.528,0.829
37,a1,b3,371,359,198,345,327,320,10.027,8.649,0.828
38,a1,b3,384,369,198,348,340,333,10.105,8.763,0.713
39,a1,b3,397,379,198,351,353,346,10.179,8.872,0.604
40,a1,b3,410,389,198,354,366,359,10.25,8.85,0.604
41,a1,b1,413,398,216,357,379,372,10.073,8.707,0.604
42,a1,b1,416,407,234,360,392,385,9.905,8.571,0.604
43,a1,b1,419,416,252,363,405,398,9.744,8.442,0.604
44,a1,b1,422,425,270,366,418,411,9.659,8.318,0.604
45,a2,b1,425,434,288,375,425,421,9.644,8.333,0.604
46,a2,b1,428,443,306,384,432,431,9.63,8.348,0.604
47,a2,b1,431,452,324,393,439,441,9.617,8.362,0.604
48,a2,b1,434,461,342,402,446,451,9.604,8.375,0.604
49,a2,b1,437,470,360,411,453,461,9.592,8.388,0.604
50,a2,b1,440,479,378,420,460,471,9.58,8.4,0.604
51,a2,b1,443,488,396,429,467,481,9.569,8.412,0.604
52,a2,b1,446,497,414,438,474,491,9.558,8.423,0.604
53,a2,b1,449,506,432,447,481,501,9.547,8.434,0.604
54,a2,b1,452,515,450,456,488,511,9.537,8.444,0.604
55,a2,b1,455,524,468,465,495,521,9.527,8.455,0.604
56,a2,b1,458,533,486,474,502,531,9.518,8.464,0.604
57,a2,b1,461,542,504,483,509,541,9.509,8.474,0.604
58,a2,b1,464,551,522,492,516,551,9.5,8.483,0.604
59,a2,b1,467,560,540,501,523,561,9.492,8.492,0.604
60,a2,b1,470,569,558,510,530,571,9.483,8.5,0.604
61,a2,b1,473,578,576,519,537,581,9.475,8.508,0.604
62,a2,b1,476,587,594,528,544,591,9.581,8.516,0.604
63,a3,b1,479,596,612,546,552,591,9.714,8.667,0.604
64,a3,b1,482,605,630,564,560,591,9.844,8.75,0.604
65,a3,b2,495,612,638,582,568,591,9.815,8.738,0.604
66,a3,b2,508,619,646,600,576,591,9.788,8.727,0.604
67,a3,b2,521,626,654,618,584,591,9.761,8.716,0.604
68,a3,b2,534,633,662,636,592,591,9.735,8.691,0.604
69,a3,b3,547,643,662,654,600,591,9.594,8.565,0.604
70,a3,b3,560,653,662,672,608,591,9.457,8.443,0.585
71,a3,b3,573,663,662,690,616,591,9.338,8.324,0.466
72,a2,b3,586,673,662,699,623,601,9.347,8.347,0.466
73,a2,b3,599,683,662,708,630,611,9.356,8.37,0.466
74,a2,b3,612,693,662,717,637,621,9.365,8.392,0.466
75,a2,b3,625,703,662,726,644,631,9.373,8.413,0.466
76,a2,b3,638,713,662,735,651,641,9.382,8.434,0.466
77,a2,b3,651,723,662,744,658,651,9.39,8.455,0.466
78,a2,b3,664,733,662,753,665,661,9.397,8.474,0.466
79,a2,b3,677,743,662,762,672,671,9.405,8.494,0.466
80,a2,b3,690,753,662,771,679,681,9.412,8.488,0.466
81,a2,b2,703,760,670,780,686,691,9.383,8.469,0.466
82,a2,b2,716,767,678,789,693,701,9.354,8.451,0.466
83,a2,b2,729,774,686,798,700,711,9.325,8.434,0.454
84,a2,b2,742,781,694,807,707,721,9.298,8.417,0.426
85,a2,b2,755,788,702,816,714,731,9.271,8.4,0.399
86,a2,b2,768,795,710,825,721,741,9.244,8.384,0.372
87,a2,b2,781,802,718,834,728,751,9.218,8.368,0.347
88,a2,b2,794,809,726,843,735,761,9.193,8.352,0.321
89,a2,b2,807,816,734,852,742,771,9.169,8.337,0.297
90,a2,b2,820,823,742,861,749,781,9.144,8.322,0.273
91,a2,b2,833,830,750,870,756,791,9.154,8.308,0.273
92,a1,b2,846,837,758,873,769,804,9.196,8.359,0.273
93,a1,b2,859,844,766,876,782,817,9.237,8.409,0.273
94,a1,b2,872,851,774,879,795,830,9.277,8.457,0.273
95,a1,b2,885,858,782,882,808,843,9.316,8.505,0.273
96,a1,b2,898,865,790,885,821,856,9.354,8.552,0.273
97,a1,b2,911,872,798,888,834,869,9.392,8.598,0.273
98,a1,b2,924,879,806,891,847,882,9.429,8.643,0.273
99,a1,b2,937,886,814,894,860,895,9.465,8.687,0.273
100,a1,b2,950,893,822,897,873,908,9.5,8.73,0.273
101,a1,b2,963,900,830,900,886,921,9.535,8.772,0.273
102,a1,b2,976,907,838,903,899,934,9.569,8.814,0.273
103,a1,b2,989,914,846,906,912,947,9.602,8.796,0.273
104,a1,b1,992,923,864,909,925,960,9.538,8.74,0.273
105,a1,b1,995,932,882,912,938,973,9.476,8.686,0.273
106,a1,b1,998,941,900,915,951,986,9.415,8.632,0.273
107,a1,b1,1001,950,918,918,964,999,9.355,8.579,0.273
108,a1,b1,1004,959,936,921,977,1012,9.296,8.528,0.273
109,a1,b1,1007,968,954,924,990,1025,9.239,8.477,0.273
110,a1,b1,1010,977,972,927,1003,1038,9.182,8.427,0.273
111,a1,b1,1013,986,990,930,1016,1051,9.126,8.378,0.254
112,a1,b1,1016,995,1008,933,1029,1064,9.071,8.33,0.2
113,a1,b1,1019,1004,1026,936,1042,1077,9.08,8.283,0.2
114,a3,b1,1022,1013,1044,954,1050,1077,9.158,8.368,0.2
115,a3,b1,1025,1022,1062,972,1058,1077,9.235,8.452,0.2
116,a3,b1,1028,1031,1080,990,1066,1077,9.31,8.534,0.2
117,a3,b1,1031,1040,1098,1008,1074,1077,9.385,8.615,0.2
118,a3,b1,1034,1049,1116,1026,1082,1077,9.458,8.695,0.2
119,a3,b1,1037,1058,1134,1044,1090,1077,9.529,8.773,0.2
120,a3,b1,1040,1067,1152,1062,1098,1077,9.6,8.85,0.2
121,a3,b1,1043,1076,1170,1080,1106,1077,9.669,8.901,0.171
122,a3,b3,1056,1086,1170,1098,1114,1077,9.59,8.828,0.171
123,a3,b3,1069,1096,1170,1116,1122,1077,9.512,8.756,0.171
124,a3,b3,1082,1106,1170,1134,1130,1077,9.435,8.685,0.171
125,a3,b3,1095,1116,1170,1152,1138,1077,9.36,8.616,0.171
126,a3,b3,1108,1126,1170,1170,1146,1077,9.286,8.548,0.171
127,a3,b3,1121,1136,1170,1188,1154,1077,9.213,8.48,0.171
128,a3,b3,1134,1146,1170,1206,1162,1077,9.141,8.414,0.171
129,a3,b3,1147,1156,1170,1224,1170,1077,9.07,8.349,0.169
130,a3,b3,1160,1166,1170,1242,1178,1077,9.0,8.285,0.099
